Organization|Report Name|Publication year|Report type|Adherence level
104|2017 Corporate Social Responsibility Report (Traditional Chinese Version)|2018|GRI - G4|In accordance - Core
104|2016 Corporate Social Responsibility Report (Traditional Chinese Version)|2017|GRI - G4|Undeclared
104|2015 Corporate Social Responsibility Report (Chinese Version)|2016|Citing - GRI|None
104|2014 Corporate Social Responsibility Report (Chinese Version)|2015|GRI - G3.1|Undeclared
1&1 Drillisch AG|Sustainability Report 2018|2019|GRI - Standards|In accordance - Core
1&1 Drillisch AG|Sustainability Report 2017|2018|GRI - Standards|GRI - Referenced
1time|Annual Report 2011|2012|Non - GRI|N/A
1time|Annual Report 2010|2011|Non - GRI|N/A
20km de Lausanne|20km de Lausanne - Développement durable en bref|2018|Non - GRI|N/A
20km de Lausanne|20km de Lausanne - Développement durable en bref|2017|Non - GRI|N/A
20km de Lausanne|20km de Lausanne 2016 - Développement durable en bref|2016|Non - GRI|N/A
21st Century Fox|Social Impact|2014|Non - GRI|N/A
104|2017 Corporate Social Responsibility Report (Traditional Chinese Version)|2018|GRI - G4|In accordance - Core
104|2016 Corporate Social Responsibility Report (Traditional Chinese Version)|2017|GRI - G4|Undeclared
104|2015 Corporate Social Responsibility Report (Chinese Version)|2016|Citing - GRI|None
104|2014 Corporate Social Responsibility Report (Chinese Version)|2015|GRI - G3.1|Undeclared
1&1 Drillisch AG|Sustainability Report 2018|2019|GRI - Standards|In accordance - Core
1&1 Drillisch AG|Sustainability Report 2017|2018|GRI - Standards|GRI - Referenced
1time|Annual Report 2011|2012|Non - GRI|N/A
1time|Annual Report 2010|2011|Non - GRI|N/A
20km de Lausanne|20km de Lausanne - Développement durable en bref|2018|Non - GRI|N/A
20km de Lausanne|20km de Lausanne - Développement durable en bref|2017|Non - GRI|N/A
20km de Lausanne|20km de Lausanne 2016 - Développement durable en bref|2016|Non - GRI|N/A
21st Century Fox|Social Impact|2014|Non - GRI|N/A
37 Interactive Entertainment|2018  Social Responsibility Report  of  Wuhu Shunrong Sanqi Interactive Entertainment  Network Technology Co., Ltd.|2019|GRI - Standards|GRI - Referenced
3i Infrastructure|Annual Report and Accounts 2018|2018|Non - GRI|N/A
3i Infrastructure|Annual report and accounts 2017|2017|Non - GRI|N/A
3i Infrastructure|Annual report and accounts 2016|2016|Non - GRI|N/A
3i Infrastructure|Annual report and accounts 2015|2015|Non - GRI|N/A
3i Infrastructure|Annual Report and accounts 2014|2014|Non - GRI|N/A
3i Infrastructure|Annual report and accounts 2013|2013|Non - GRI|N/A
3i Infrastructure|Annual report and accounts 2012|2012|Non - GRI|N/A
3M|2019 Sustainability Report|2019|GRI - Standards|In accordance - Comprehensive
3M|3M 2018 Sustainability Report|2018|GRI - G4|In accordance - Core
3M|2017 Sustainability Report|2017|GRI - G4|In accordance - Core
3M|2016 Sustainability Report|2016|GRI - G4|In accordance - Core
3M|2015 Sustainability Report|2015|GRI - G4|In accordance - Core
3M|2014 Sustainability Report|2014|GRI - G3.1|B+
3M|3M 2013 Sustainability Report|2013|GRI - G3.1|C+
3M|2012 Sustainability Report|2012|GRI - G3.1|C+
3M|2011 Sustainabiity Report|2011|GRI - G3|C+
3M|2008 Sustainability Report|2009|GRI - G3|C+
3M|2007 Sustainability Report|2008|GRI - G3|C+
3M|2006 Sustainability Report|2007|GRI - G3|C+
3M|Sustainability web site report|2000|GRI - G1|N/A
3M Argentina|Gestión Sustentable - Reporte Argentina 2015|2016|GRI - G4|In accordance - Core
3M Argentina|Gestión Sustentable - Reporte Argentina 2014|2015|GRI - G4|In accordance - Core
3M Argentina|Gestión Sustentable - Reporte Argentina 2013|2014|GRI - G3.1|C
3M Argentina|Reporte de Sustentabilidad 2012|2013|GRI - G3.1|C
3M Argentina|Reporte de Sustentabilidad 2010|2011|Non - GRI|N/A
3M Brazil|"Relatório Anual de Sustentabilidade 2017 | Exercício 2016"|2017|Non - GRI|N/A
3M Brazil|Relatório Anual de Sustentabilidade 2015|2016|Citing - GRI|None
3M Brazil|Relatório Anual de Sustentabilidade 2015|2015|GRI - G3.1|B
3M Brazil|Relatório Anual de Sustentabilidade 2014|2014|GRI - G3|B
3M Brazil|Relatório de Sustentabilidade 2013 - Exercicio 2012|2013|GRI - G3|B
3M Brazil|Relatório Anual de Sustentabilidade 2011|2012|GRI - G3|C
3M Brazil|Relatório Anual de Sustentabilidade 2010|2011|GRI - G3|C
3SBio|Annual Report 2017|2018|Citing - GRI|None
3SBio|ANNUAL REPORT 2016|2017|Non - GRI|N/A
4C Group AG|UN Global Compact COP 2017|2017|Non - GRI|N/A
4D SOFT Kft.|Equal Opportunity and Sustainability Report 2015|2016|Non - GRI|N/A
6GEN|Sustainability Report 2009|2009|GRI - G3|Undeclared
6tell|Informe Responsabilitat Social 2008-2009|2009|GRI - G3|B
6tell|Memoria de Sostenibilitat 2006|2007|GRI - G3|B
888 Holdings|Corporate Responsibility Report 2008|2009|GRI - G3|A
A1|Umwelterklärung 2016/2017|2017|Non - GRI|N/A
A1|Moving forward. Step by step. 2015/2016|2016|GRI - G4|In accordance - Comprehensive
A1|A1 Umwelterklärung 2014|2015|Non - GRI|N/A
A2A spa|Integrated Report 2018|2019|GRI - Standards|In accordance - Core
A2A spa|Integrated Report 2017|2018|GRI - Standards|In accordance - Core
A2A spa|Integrated Report 2016|2017|GRI - G4|In accordance - Core
A2A spa|Bilancio di sostenibilità 2015|2016|GRI - G4|In accordance - Core
A2A spa|Sustainability Report 2014|2015|GRI - G4|In accordance - Core
A2A spa|Sustainability Report 2013|2014|GRI - G3.1|A+
A2A spa|Sustainability Report 2012|2013|GRI - G3.1|A+
A2A spa|Sustainability Report 2011|2012|GRI - G3.1|B+
A2A spa|Sustainability Report 2010|2011|GRI - G3|B+
A2A spa|Sustainability Report 2009|2010|GRI - G3|B+
A2A spa|Sustainability Report 2008|2009|GRI - G3|B
AA|Annual Report and Accounts 2018|2018|Non - GRI|N/A
AA|AA plc Annual Report and Accounts 2017|2017|Non - GRI|N/A
AA|AA plc Annual Report and Accounts 2016|2016|Non - GRI|N/A
AAC Technologies|2017 Sustainability Report|2018|Non - GRI|N/A
AAC Technologies|2016 Sustainability Report|2017|GRI - G4|In accordance - Core
AAC Technologies|2015 Sustainability Report|2016|Citing - GRI|None
AAC Technologies|2014 Sustainability Report|2015|Non - GRI|N/A
AAC Technologies|2013 Sustainability Report|2014|Non - GRI|N/A
AAK|Sustainability Report 2016/2017|2017|GRI - G4|Undeclared
AAK|Sustainability Report 2015/2016|2016|GRI - G4|Undeclared
AAK|Sustainability Report 2014/2015|2015|GRI - G3|Undeclared
AAK|Sustainability report 2013/2014|2014|GRI - G3|Undeclared
AAK|Responsible Growth AAK Sustainability Report 2012/2013|2013|GRI - G3|Undeclared
AAK|Responsible growth AAK sustainability report 2011/2012|2012|GRI - G3|Undeclared
AAK|Hållbarhetsrapport 2010/2011|2011|GRI - G3|Undeclared
AAK|AAK in the world. Sustainability Report 2009|2009|GRI - G3|Undeclared
Aalto University|Sustainable Campus Charter Report of Aalto University 2017|2018|Non - GRI|N/A
Aalto University|Sustainable Campus Charter Report of Aalto University 2016|2017|Non - GRI|N/A
Aalto University|Sustainable Campus Charter Report of Aalto University 2015 ISCN-GULF|2016|Non - GRI|N/A
Aalto University|Annual Report 2014|2015|Non - GRI|N/A
Aalto University|Aalto University ISCN-GULF Sustainable Campus Charter Report 2013|2014|Non - GRI|N/A
Aalto University|Aalto University ISCN-GULF Sustainable Campus Charter Report 2012|2013|Non - GRI|N/A
Aami|Sustainability Report 2010|2010|GRI - G3|C
Aami|Sustainability Report 09|2009|GRI - G3|C
aap Architekten|Gemeinwohl-Bericht 2013|2013|Non - GRI|N/A
Aareal Bank|Nachhaltigkeitsbericht 2015|2016|GRI - G4|In accordance - Core
Aareal Bank|Verantwortung übernehmen, mit Qualität überzeugen Nachhaltigkeitsbericht 2014|2015|GRI - G3|B
Aareal Bank|Sustainability Report 2013|2014|GRI - G3|B
Aareal Bank|Verantwortung baut auf Überzeugung. Nachhaltigkeitsbericht 2012|2013|GRI - G3|B
Aargau|Dritter Bericht Nachhaltige Entwicklung im Kanton Aargau|2012|Citing - GRI|None
Aargau|Zweiter Bericht Nachhaltige Entwicklung im Kanton Aargau|2009|Non - GRI|N/A
Aargau|Erster Bericht Nachhaltige Entwicklung im Kanton Aargau|2005|Non - GRI|N/A
Aargauische Kantonalbank|Geschäfts- und Nachhaltigkeitsbericht 2017|2018|GRI - G4|In accordance - Core
Aargauische Kantonalbank|AKB Nachhaltigkeitsbericht 2016|2017|GRI - G4|In accordance - Core
Aargauische Kantonalbank|Geschaftsbericht 2015|2016|GRI - G4|In accordance - Core
Aargauische Kantonalbank|Jahresbericht 2014|2015|GRI - G3|B
Aargauische Kantonalbank|Jahresberichte & GRI Content Index 2013|2014|GRI - G3|Undeclared
Aargauische Kantonalbank|Nachhaltigkeitsbericht 2012|2013|GRI - G3|B+
